"Stage 1. Fit Out Design, Construct - Rev 1 (Authorised Items)",,,,
,,,,
Ground Level Unisex PWD Toilet,Material,Labour,Total,Margin
"Install Cladding to wall elevations as required.
9mm Versilux",0/m2,10/hr,"$5,000.00"," $6,000.00 "
Insulation,,,, $-   
Wall and ceiling insulation to be R 1.5.,95/m2,0/hr,$950.00," $1,140.00 "
Flooring Contractor,,,, $-   
Supply and Install Vinyl Planks; Polyflor - MiPlank (177.8 x 1219.2mm) - Colour TBD,35/m2,1/ea,"$3,930.00"," $4,716.00 "
Supply and install silicone to vinyl planks,0/ea,1/ea,$370.00, $444.00 
"Sand, Prime and Skim to yellow tongue",0/ea,1/ea,$660.00, $792.00 
Windows,,,, $-   
Supply and install aluminium slider windows x 2,2/ea,0/hr,"$1,512.00"," $1,814.40 "
Joinery,,,, $-   
Supply and install adjustable shelving to elevation 2,1/ea,0/hr,"$3,150.00"," $3,780.00 "
"Supply and install office desks / benches to elevation 3, 4.",1/ea,0/hr,"$5,699.40"," $6,839.28 "
Painting,,,, $-   
Prepare and paint all wall and ceiling linings,95/m2,0/hr,"$2,375.00"," $2,850.00 "
Prepare and paint external cladding,71/ea,0/hr,"$1,988.00"," $2,385.60 "
Materials,,,, $-   
Supply and deliver 9mm Versilux,78/m2,0/hr,"$3,112.20"," $3,734.64 "
Balustrade,,,, $-   
Supply and install custom steel balustrade,1/ea,0/hr,"$8,295.00"," $9,954.00 "
"$54,251.60",,,, $-   
,,,, $-   
Preliminaries,Material,Labour,Total,#VALUE!
Supervision,,,, $-   
Site Supervision,0/ea,60/hr,"$5,700.00"," $6,840.00 "
Preliminaries,,,, $-   
Qleave Levy,1/ea,0/Note,"$1,080.00"," $1,296.00 "
"On site safety equipment
- Fire extinguisher
- First aid kit
- Bollards and safety rope edge
- Site Signage",1/ea,0/hr,$200.00, $240.00 
Comprehensive safety plan,0/ea,4/hr,$380.00, $456.00 
Delivery/Freight,,,, $-   
Material logistics and delivery charges,0/ea,1/ea,$750.00, $900.00 
Waste Removal,,,, $-   
Skip bin 6m3,2/ea,0/hr,"$1,400.00"," $1,680.00 "
Cleaning,,,, $-   
"Builders clean upon completion of works
Include light clean of workshop floor area",0/ea,1/ea,"$2,000.00"," $2,400.00 "
Materials,,,, $-   
"Fixings, joint strips, glue, Hardie hardware, consumables",1/ea,0/hr,"$2,500.00"," $3,000.00 "
Safety/Access Equipment,,,, $-   
"Rental and delivery of scissor lift
9.7m Diesel / electric",3/wk,2/ea,"$4,829.00"," $5,794.80 "
"Mobile scaffold
Rental and delivery",2/wk,2/ea,"$1,208.00"," $1,449.60 "
Harness system when building mezzanine walls,1/ea,0/hr,$200.00, $240.00 
Protection,,,, $-   
Floor protection to timber stairs,1/ea,2/hr,$260.00, $312.00 
Equipment Hire,,,, $-   
"Portable toilet - Supply, deliver, service and removal for on site as required
9 x pump outs - every fortnight",17/wk,1/ea,"$2,228.00"," $2,673.60 "
"Rumble Grid
Rental of 1 rumble grid 4m wide x 2m deep.
Includes delivery and pickup",17/wk,1/ea,"$3,150.00"," $3,780.00 "
Sediment Control,,,, $-   
Supply and install sediment control as per plans,155/lm,8/hr,"$1,680.50"," $2,016.60 "
"$27,565.50",,,, $-   
,,,, $-   
General Notes,Material,Labour,Total,#VALUE!
General Note,,,, $-   
Allowed for qty's only as noted in this scope of works. Any additional qty's required may incur additional cost in way of variation,0/ea,1/Note,$0.00, $-   
"Pricing valid for 60 days, periodic review of costings required due to market conditions.",0/ea,1/Note,$0.00, $-   
ALL SANITARYWARE ITEMS WILL NEED TO BE SIGNED OFF ON BY CLIENT PRIOR TO ORDERING,0/ea,1/Note,$0.00, $-   
Site access and working hours allowed for are: 6:30am - 5:00pm Mon to Fri excluding public holidays Saturday work will be requested and discussed if required,0/ea,1/Note,$0.00, $-   
"No allowance for any other trades or consultants unless noted herein, if any other trades or consultants required variation may apply",0/ea,1/Note,$0.00, $-   
Exclusions,,,, $-   
"- Latent conditions
- No allowance for asbestos removal
- No allowance any additional works
- Certification",0/ea,1/Note,$0.00, $-   
"- Plumbing and Drainage (other supply of plumbing fixtures noted herein).
- Electrical.
- Mechanical.
- Termite treatment.
- Concrete paving to the north, south and east sides of the main shed.
- Concrete paving to the main entry .
- Hardstand to the north side forecourt of the workshop.
- Line marking.
- Wheel stops.
- Bollards.
- Bin enclosure.
- Bicycle racks.
- Landscaping.
- Bicycle rack parking
- Floor finishes to timber stairs
- Handrails to stairs
- The main shed structure, envelope and roller doors.
- The main shed concrete ﬂoor slab.
- Mezzanine ﬂooring. Yellow tongue particle board ﬂooring.
- Stair treads from ground to upper mezzanine office
- The wash bay roof structure and roof sheeting.
- Supply and install of the wash bay.",0/ea,1/Note,$0.00, $-   
"Pluming works
Plumbing fixtures have been allowed for supply only, no allowance to install",0/ea,1/Note,$0.00, $-   
Temporary Fence - it is assumed the site is fenced and shed can be locked for duration of works,0/ea,1/Note,$0.00, $-   
$0.00,,,, $-   
,,,, $-   
Totals,,,Totals,#VALUE!
Sub Total,,,"$163,003.33"," $195,604.00 "
Margin,,,"$32,600.67"," $39,120.80 "
GST,,,"$19,560.40"," $23,472.48 "
Total,,,"$215,164.40"," $258,197.28 "
